月份,任務名稱,積分,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2025-11,指定中文1本,5,,,,,,,,,,,,,1,,,,1,,,1,,1,1,,1,1,,1,1,2,
2025-11,隨意中文1本,3,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
2025-11,英文朗讀1本,5,,,,,,,,,,,2,,2,,1,2,1,1,,2,,,1,2,2,2,2,,1,1,
2025-11,英文咡2本,1,,,,,,,,,,,,1,1,1,1,1,1,1,2,,1,,,,,,,,,,
2025-11,英文閱讀1本,1,,,,,,,,,,,,1,,2,1,,,1,,,3,2,1,,,,,2,,,
2025-11,8:30前完成所有事,5,,,,,,,,,,,1,1,1,,,1,,,1,,,,,,,,,,,1,
2025-11,喝水500CC,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,1,,
2025-11,其他假日早起看書、ICRT,1,,,,,,,,,,,,,,,1,7,40,1,6,1,1,,2,1,6,,6,6,4,,
2025-12,指定中文1本,5,,,1,,,1,1,,,,,,1,,,,,2,,2,1,,,2,1,,2,2,,,
2025-12,隨意中文1本,3,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,
2025-12,英文朗讀1本,5,1,1,1,1,,,1,1,,1,,,,1,1,,1,2,2,1,2,2,,,2,1,2,2,3,,
2025-12,英文閱讀1本,1,1,,1,2,1,,1,2,,1,2,1,1,,,,1,,,1,,,,,,,,,,3,
2025-12,英文咡2本,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12,早上ICRT,1,7,3,2,7,1,,,1,1,3,2,3,,,15,1,1,1,1,,30,2,1,,,1,5,6,2,1,1
2026-01,指定中文1本,5,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,
2026-01,隨意中文1本,3,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,
2026-01,英文朗讀1本,5,2,1,3,3,1,,1,,,,1,,,3,,,1,1,,,,,,1,2,1,2,,,,
2026-01,英文閱讀1本,1,1,,,,2,3,,,,3,3,,,,,,,,4,,2,2,1,,,1,2,,2,,2
2026-01,英文咡2本,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01,早上ICRT,1,,5,,,,1,,,1,,1,1,6,1,16,,,,1,23,1,6,,,,1,39,1,,2,
2026-02,指定中文1本,5,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
2026-02,隨意中文1本,3,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2026-02,英文朗讀1本,5,,,,,,,,,,2,,,,,,,,,,,2,1,,,,,,,,,
2026-02,英文閱讀1本,1,,,,,3,,1,1,,,10,,,,,,,,,,1,1,1,,1,,,,,,
2026-02,英文咡2本,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02,早上ICRT/其他,1,1,5,,1,6,,,,1,1,1,1,2,,,,,,,,15,2,1,1,1,,,,,,
2026-03,指定中文1本,5,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,
2026-03,隨意中文1本,3,,,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,5
2026-03,英文朗讀1本,5,,,,,,,,1,,,,2,,1,1,,1,1,,1,2,,1,,,1,1,,1,1,1
2026-03,英文閱讀1本,1,,,,,7,7,,,,,,,1,,,,1,1,,1,,,,,,,,,,,
2026-03,英文咡2本,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03,早上ICRT/其他,1,,,1,1,6,6,5,1,1,,,,1,,,1,,1,1,1,,,1,1,6,1,1,,,1,1
2026-04,指定中文1本,5,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04,隨意中文1本,3,,,,,,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,
2026-04,英文朗讀1本,5,,,,2,1,1,,,,1,2,2,,1,1,1,1,,,,,,,,,,,,,,
2026-04,英文閱讀1本,1,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
2026-04,英文咡2本,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04,早上ICRT/其他,1,1,,,,1,,1,1,1,21,,,1,,1,2,1,,,,,,,,,,,,,,
